F 0 L0.204,0.261,0.086,0.021,0.011,0.009,0.010,0.006
F 1 NULL
F 2 NULL
F 3 L0.122,0.280,0.090,0.022,0.010,0.010,0.011,0.006

F 1 L0.126,0.268,0.091,0.021,0.010,0.010,0.011,0.006
F 2 L0.126,0.272,0.085,0.019,0.009,0.009,0.010,0.005
F 3 L0.122,0.280,0.090,0.022,0.010,0.010,0.011,0.006
F 4 L0.136,0.261,0.085,0.019,0.010,0.009,0.011,0.006
F 5 L0.196,0.256,0.087,0.021,0.011,0.009,0.009,0.005
F 6 L0.127,0.264,0.088,0.020,0.010,0.010,0.010,0.006
F 7 L0.128,0.272,0.087,0.020,0.010,0.009,0.010,0.005
F 8 L0.134,0.274,0.085,0.020,0.010,0.009,0.010,0.006
F 9 L0.133,0.270,0.088,0.020,0.010,0.010,0.011,0.007
F 10 L0.207,0.267,0.088,0.024,0.014,0.010,0.010,0.005
F 11 L0.146,0.271,0.087,0.022,0.011,0.009,0.010,0.006
F 12 L0.143,0.260,0.081,0.021,0.011,0.009,0.010,0.006
F 13 L0.125,0.263,0.085,0.023,0.012,0.009,0.011,0.007
F 14 L0.119,0.277,0.081,0.023,0.012,0.010,0.011,0.006
F 15 L0.176,0.272,0.086,0.024,0.013,0.010,0.010,0.006
F 16 L0.187,0.263,0.098,0.027,0.012,0.010,0.011,0.006
F 17 L0.101,0.252,0.097,0.026,0.011,0.010,0.010,0.006
F 18 L0.220,0.277,0.085,0.026,0.012,0.009,0.010,0.006
F 19 L0.116,0.258,0.096,0.028,0.016,0.011,0.011,0.006
F 20 L0.117,0.251,0.082,0.023,0.016,0.012,0.010,0.006
F 21 L0.106,0.222,0.052,0.021,0.015,0.008,0.006,0.004
F 22 L0.229,0.272,0.083,0.019,0.010,0.008,0.010,0.006
F 23 L0.141,0.272,0.086,0.020,0.010,0.009,0.010,0.005
F 24 L0.116,0.273,0.090,0.022,0.010,0.010,0.010,0.006
F 25 L0.130,0.276,0.083,0.019,0.010,0.009,0.011,0.006
F 26 L0.144,0.274,0.086,0.020,0.009,0.009,0.010,0.005
F 27 L0.121,0.257,0.085,0.021,0.011,0.010,0.010,0.006
F 28 L0.475,0.105,0.034,0.019,0.010,0.006,0.006,0.003
F 29 L0.231,0.212,0.082,0.024,0.016,0.011,0.012,0.007
F 30 L0.149,0.275,0.081,0.019,0.010,0.010,0.011,0.006
F 31 L0.142,0.292,0.091,0.022,0.010,0.009,0.011,0.007
F 32 L0.138,0.260,0.079,0.020,0.010,0.009,0.010,0.006
F 33 L0.123,0.271,0.085,0.020,0.010,0.010,0.011,0.006
F 34 L0.141,0.281,0.086,0.023,0.010,0.009,0.010,0.006
F 35 L0.201,0.289,0.089,0.024,0.012,0.009,0.010,0.006
F 36 L0.163,0.257,0.094,0.026,0.011,0.010,0.011,0.006
F 37 L0.097,0.248,0.097,0.027,0.011,0.010,0.011,0.006
F 38 L0.198,0.286,0.089,0.025,0.012,0.009,0.010,0.005
F 39 L0.140,0.252,0.093,0.026,0.011,0.010,0.011,0.006
F 40 L0.102,0.247,0.096,0.028,0.012,0.010,0.011,0.006
F 41 L0.325,0.216,0.055,0.016,0.010,0.007,0.007,0.004
F 42 L0.411,0.126,0.021,0.013,0.011,0.003,0.003,0.001
F 43 L0.274,0.094,0.027,0.017,0.013,0.006,0.003,0.002
F 44 L0.343,0.187,0.027,0.017,0.013,0.005,0.004,0.002
F 45 L0.324,0.207,0.030,0.016,0.012,0.005,0.004,0.002
F 46 L0.176,0.203,0.031,0.022,0.016,0.009,0.006,0.003
F 47 L0.175,0.324,0.075,0.033,0.021,0.014,0.012,0.009
F 48 L0.210,0.356,0.091,0.018,0.008,0.008,0.009,0.006
F 49 L0.148,0.328,0.096,0.020,0.010,0.008,0.009,0.005
F 50 L0.168,0.356,0.093,0.021,0.009,0.009,0.010,0.006
F 51 L0.233,0.269,0.074,0.016,0.009,0.007,0.007,0.004
F 52 L0.198,0.351,0.085,0.018,0.009,0.008,0.009,0.006
F 53 L0.165,0.346,0.100,0.019,0.010,0.009,0.009,0.005
F 54 L0.147,0.353,0.092,0.021,0.009,0.009,0.010,0.006
F 55 L0.219,0.331,0.103,0.020,0.011,0.009,0.010,0.006
F 56 L0.147,0.350,0.091,0.020,0.010,0.009,0.010,0.007
F 57 L0.178,0.342,0.095,0.019,0.010,0.008,0.009,0.005
F 58 L0.133,0.327,0.092,0.020,0.010,0.009,0.009,0.006
F 59 L0.235,0.234,0.056,0.017,0.010,0.008,0.007,0.004
F 60 L0.207,0.354,0.084,0.019,0.009,0.008,0.009,0.006
F 61 L0.159,0.347,0.099,0.019,0.011,0.009,0.010,0.006
F 62 L0.147,0.353,0.093,0.021,0.010,0.009,0.010,0.007
F 63 L0.173,0.281,0.087,0.022,0.015,0.011,0.009,0.005
F 64 L0.178,0.263,0.086,0.023,0.013,0.010,0.011,0.007
F 65 L0.142,0.258,0.080,0.021,0.012,0.009,0.010,0.006
F 66 L0.129,0.265,0.088,0.022,0.013,0.009,0.010,0.006
F 67 L0.122,0.269,0.081,0.022,0.013,0.009,0.010,0.006
F 68 L0.125,0.264,0.082,0.024,0.014,0.010,0.010,0.006
F 69 L0.254,0.282,0.093,0.027,0.012,0.010,0.010,0.006
F 70 L0.094,0.255,0.099,0.026,0.011,0.010,0.011,0.006
F 71 L0.169,0.271,0.092,0.027,0.012,0.009,0.010,0.006
F 72 L0.156,0.257,0.092,0.028,0.015,0.011,0.011,0.006
F 73 L0.112,0.264,0.093,0.025,0.016,0.012,0.011,0.006
F 74 L0.164,0.151,0.075,0.025,0.014,0.007,0.005,0.003
F 75 L0.219,0.087,0.059,0.026,0.015,0.005,0.002,0.001
F 76 L0.226,0.108,0.075,0.029,0.018,0.008,0.004,0.002
F 77 L0.201,0.256,0.090,0.029,0.014,0.010,0.010,0.006
F 78 L0.158,0.276,0.085,0.020,0.010,0.010,0.011,0.006
F 79 L0.114,0.256,0.092,0.020,0.010,0.009,0.010,0.006
F 80 L0.137,0.263,0.081,0.021,0.010,0.009,0.011,0.006
F 81 L0.124,0.282,0.085,0.019,0.009,0.009,0.011,0.005
F 82 L0.114,0.250,0.089,0.019,0.010,0.009,0.010,0.005
F 83 L0.142,0.268,0.062,0.022,0.015,0.011,0.010,0.006
F 84 L0.236,0.286,0.085,0.022,0.012,0.009,0.010,0.006
F 85 L0.121,0.256,0.087,0.021,0.010,0.010,0.011,0.006
F 86 L0.131,0.251,0.085,0.019,0.010,0.009,0.010,0.006
F 87 L0.130,0.255,0.087,0.022,0.010,0.009,0.011,0.007
F 88 L0.121,0.267,0.077,0.020,0.011,0.009,0.011,0.006
F 89 L0.126,0.264,0.086,0.021,0.011,0.010,0.010,0.007
F 90 L0.221,0.310,0.094,0.025,0.012,0.010,0.010,0.006
F 91 L0.165,0.252,0.096,0.025,0.010,0.010,0.011,0.006
F 92 L0.092,0.244,0.099,0.025,0.010,0.010,0.010,0.006
F 93 L0.211,0.279,0.093,0.026,0.012,0.010,0.011,0.006
F 94 L0.132,0.242,0.090,0.025,0.014,0.011,0.010,0.005
F 95 L0.108,0.257,0.091,0.024,0.015,0.011,0.010,0.006
F 96 L0.299,0.258,0.049,0.015,0.010,0.007,0.005,0.004
F 97 L0.181,0.190,0.024,0.015,0.011,0.006,0.004,0.002
F 98 L0.204,0.151,0.027,0.019,0.014,0.009,0.005,0.003
F 99 L0.167,0.206,0.033,0.019,0.014,0.011,0.007,0.005
